food_id,food_desc,WWEIA_desc,ingredient_desc,first_words,calorie,protein,carb,sugar,fiber,saturated_fat,cholesterol,sodium,calcium,phosphorus,potassium,iron,folic_acid,vitamin_c,vitamin_d,vitamin_b12,low_calorie,high_calorie,low_protein,high_protein,low_carb,high_carb,low_sugar,high_sugar,low_fiber,high_fiber,low_saturated_fat,high_saturated_fat,low_cholesterol,high_cholesterol,low_sodium,high_sodium,low_calcium,high_calcium,low_phosphorus,high_phosphorus,low_potassium,high_potassium,low_iron,high_iron,low_folic_acid,high_folic_acid,low_vitamin_c,high_vitamin_c,low_vitamin_d,high_vitamin_d,low_vitamin_b12,high_vitamin_b12,macro_carb,macro_phosphorus,macro_calorie,macro_potassium,macro_sodium,macro_cholesterol,macro_saturated_fat,macro_protein,macro_sugar,macro_fiber,macro_iron,macro_folic_acid,macro_vitamin_b12,macro_calcium,micro_vitamin_d,macro_vitamin_c,non_zero_nutrition_count
27146400,Chicken kiev,Poultry mixed dishes,"Wheat flour, white, all-purpose, enriched, bleached",chicken kiev,255.792709,27.16374944,4.399683605,0.199804513,0.184993811,6.571261668,106.3640448,366.2984132,25.71224548,213.2443368,239.5132401,1.153272648,4.487822211,0.0,0.219470452,0.347972486,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,10
27144000,Chicken or turkey with mushroom sauce,Poultry mixed dishes,"Salt, table, iodized",chicken or turkey,136.1494448,18.25680979,2.404936924,0.745023733,0.08353399,1.448335107,63.90235876,389.0875083,22.26814732,151.2563397,205.7954054,0.75259394,0.0,0.0,0.152195494,0.234309625,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,10
27347210,"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",Poultry mixed dishes,"Bread, stuffing, dry mix, prepared",chicken or turkeystuffing,152.5377229,9.118427069,14.12620027,1.838363054,1.099679927,1.369295839,25.85733882,327.1147691,26.63465935,93.78143576,162.8029264,0.940329218,10.99679927,1.444901692,0.020576132,0.098079561,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,6
28140730,"Chicken patty, breaded, with tomato sauce and cheese, fettuccine alfredo, vegetable, frozen meal",Poultry mixed dishes,"Wheat flour, white, all-purpose, unenriched",chicken patty breaded,122.1666644,9.415470591,8.42190278,1.390711201,1.189521896,1.906434249,31.86923451,265.3068476,40.2366511,94.01360362,151.3370385,0.850580854,12.16917591,4.602440771,0.089348071,0.128007453,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,5
28140740,"Chicken patty or nuggets, boneless, breaded, with pasta and tomato sauce, fruit, dessert, frozen meal",Poultry mixed dishes,"Chicken patty, frozen, cooked",chicken patty or,179.8214412,5.15849663,24.77486689,10.61433641,1.598247489,1.481522904,13.02980476,409.8420869,15.50932196,77.79712873,161.3196374,1.021783377,17.19805004,0.790250934,0.073146628,0.058162344,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,6
28141050,"Chicken patty parmigiana, breaded, with vegetable, diet frozen meal",Poultry mixed dishes,"Chicken, broilers or fryers, back, meat and skin, cooked, stewed",chicken patty parmigiana,135.0523244,9.70615779,6.718901351,1.728782881,1.196591865,2.768301798,25.9669145,422.6778131,117.320767,120.9049983,165.8355346,0.901086828,5.013265898,20.87572044,0.084054745,0.289069266,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,7
27540120,Chicken salad sandwich on white,Chicken fillet sandwiches,"Chicken or turkey salad, made with mayonnaise",chicken salad sandwich,240.8682734,12.91630624,18.84766516,2.779549794,1.113773341,2.248426743,41.14821175,437.300227,82.80501915,117.9456565,170.6078695,1.596132875,30.45890786,0.497046254,0.011842739,0.126960507,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,7
27142000,Chicken with gravy,Poultry mixed dishes,"Chicken, NS as to part, rotisserie, skin not eaten",chicken with gravy,129.0495386,17.83430052,2.033512375,0.205692691,0.090920173,1.321122401,66.98149121,418.4961237,13.67677277,149.5553254,208.6144989,0.590831935,0.0,0.0,0.004531682,0.227333618,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,10
27146160,Chicken with mole sauce,Poultry mixed dishes,"Salt, table, iodized",chicken with mole,153.6222578,19.04690732,3.621575302,1.932877672,0.77134698,1.757440565,66.39738382,374.1589228,18.29804319,168.3638301,253.8564203,0.966920769,0.0,1.423393068,0.023289027,0.217621701,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,8
28143080,"Chicken with noodles and cheese sauce, diet frozen meal",Poultry mixed dishes,"Beverages, water, tap, municipal",chicken with noodles,118.9733756,10.88052089,11.6633963,0.306500138,0.659878849,0.617898622,24.13806928,105.1272907,10.98494556,87.87919313,89.66705923,0.753065982,22.91508965,0.0,0.034381754,0.094669824,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,6
